,date,Weekly_Count,Site Name
122,2021-02-07,6,MLO-050 : MLO - Portland
123,2021-02-14,12,MLO-050 : MLO - Portland
124,2021-02-21,1,MLO-050 : MLO - Portland
125,2021-02-28,6,MLO-050 : MLO - Portland
126,2021-03-07,9,MLO-050 : MLO - Portland
127,2021-03-14,9,MLO-050 : MLO - Portland
128,2021-03-21,7,MLO-050 : MLO - Portland
129,2021-03-28,12,MLO-050 : MLO - Portland
130,2021-04-04,17,MLO-050 : MLO - Portland
131,2021-04-11,15,MLO-050 : MLO - Portland
132,2021-04-18,13,MLO-050 : MLO - Portland
133,2021-04-25,2,MLO-050 : MLO - Portland
134,2021-05-02,3,MLO-050 : MLO - Portland
135,2021-05-09,6,MLO-050 : MLO - Portland
136,2021-05-16,5,MLO-050 : MLO - Portland
137,2021-05-23,12,MLO-050 : MLO - Portland
138,2021-05-30,7,MLO-050 : MLO - Portland
139,2021-06-06,9,MLO-050 : MLO - Portland
140,2021-06-13,16,MLO-050 : MLO - Portland
141,2021-06-20,15,MLO-050 : MLO - Portland
142,2021-06-27,11,MLO-050 : MLO - Portland
143,2021-07-04,21,MLO-050 : MLO - Portland
144,2021-07-11,13,MLO-050 : MLO - Portland
145,2021-07-18,15,MLO-050 : MLO - Portland
146,2021-07-25,14,MLO-050 : MLO - Portland
147,2021-08-01,10,MLO-050 : MLO - Portland
148,2021-08-08,9,MLO-050 : MLO - Portland
149,2021-08-15,5,MLO-050 : MLO - Portland
150,2021-08-22,7,MLO-050 : MLO - Portland
151,2021-08-29,12,MLO-050 : MLO - Portland
152,2021-09-05,12,MLO-050 : MLO - Portland
153,2021-09-12,15,MLO-050 : MLO - Portland
154,2021-09-19,13,MLO-050 : MLO - Portland
155,2021-09-26,10,MLO-050 : MLO - Portland
156,2021-10-03,21,MLO-050 : MLO - Portland
157,2021-10-10,15,MLO-050 : MLO - Portland
158,2021-10-17,8,MLO-050 : MLO - Portland
159,2021-10-24,19,MLO-050 : MLO - Portland
160,2021-10-31,10,MLO-050 : MLO - Portland
