,date,Weekly_Count,Site Name
113,2020-12-06,15,MLO-869 : MLO - Tulsa
114,2020-12-13,26,MLO-869 : MLO - Tulsa
115,2020-12-20,23,MLO-869 : MLO - Tulsa
116,2020-12-27,9,MLO-869 : MLO - Tulsa
117,2021-01-03,17,MLO-869 : MLO - Tulsa
118,2021-01-10,25,MLO-869 : MLO - Tulsa
119,2021-01-17,12,MLO-869 : MLO - Tulsa
120,2021-01-24,10,MLO-869 : MLO - Tulsa
121,2021-01-31,4,MLO-869 : MLO - Tulsa
122,2021-02-07,10,MLO-869 : MLO - Tulsa
123,2021-02-14,22,MLO-869 : MLO - Tulsa
124,2021-02-21,4,MLO-869 : MLO - Tulsa
125,2021-02-28,7,MLO-869 : MLO - Tulsa
126,2021-03-07,14,MLO-869 : MLO - Tulsa
127,2021-03-14,8,MLO-869 : MLO - Tulsa
128,2021-03-21,12,MLO-869 : MLO - Tulsa
129,2021-03-28,10,MLO-869 : MLO - Tulsa
130,2021-04-04,7,MLO-869 : MLO - Tulsa
131,2021-04-11,7,MLO-869 : MLO - Tulsa
132,2021-04-18,12,MLO-869 : MLO - Tulsa
133,2021-04-25,6,MLO-869 : MLO - Tulsa
134,2021-05-02,2,MLO-869 : MLO - Tulsa
135,2021-05-09,10,MLO-869 : MLO - Tulsa
136,2021-05-16,8,MLO-869 : MLO - Tulsa
137,2021-05-23,3,MLO-869 : MLO - Tulsa
138,2021-05-30,6,MLO-869 : MLO - Tulsa
139,2021-06-06,4,MLO-869 : MLO - Tulsa
140,2021-06-13,7,MLO-869 : MLO - Tulsa
141,2021-06-20,20,MLO-869 : MLO - Tulsa
142,2021-06-27,9,MLO-869 : MLO - Tulsa
143,2021-07-04,8,MLO-869 : MLO - Tulsa
144,2021-07-11,13,MLO-869 : MLO - Tulsa
145,2021-07-18,10,MLO-869 : MLO - Tulsa
146,2021-07-25,10,MLO-869 : MLO - Tulsa
147,2021-08-01,14,MLO-869 : MLO - Tulsa
