date,Application Function,count
2020-04-29,WMS MA,2
2020-04-30,WMS MA,3
2020-05-01,WMS MA,2
2020-05-02,WMS MA,1
2020-05-03,WMS MA,0
2020-05-04,WMS MA,0
2020-05-05,WMS MA,7
2020-05-06,WMS MA,1
2020-05-07,WMS MA,1
2020-05-08,WMS MA,0
2020-05-09,WMS MA,1
2020-05-10,WMS MA,0
2020-05-11,WMS MA,2
2020-05-12,WMS MA,2
2020-05-13,WMS MA,0
2020-05-14,WMS MA,3
2020-05-15,WMS MA,0
2020-05-16,WMS MA,0
2020-05-17,WMS MA,0
2020-05-18,WMS MA,1
2020-05-19,WMS MA,0
2020-05-20,WMS MA,0
2020-05-21,WMS MA,0
2020-05-22,WMS MA,0
2020-05-23,WMS MA,0
2020-05-24,WMS MA,0
2020-05-25,WMS MA,1
2020-05-26,WMS MA,0
2020-05-27,WMS MA,3
2020-05-28,WMS MA,7
2020-05-29,WMS MA,0
2020-05-30,WMS MA,1
2020-05-31,WMS MA,3
2020-06-01,WMS MA,2
2020-06-02,WMS MA,3
2020-06-03,WMS MA,0
2020-06-04,WMS MA,3
2020-06-05,WMS MA,1
2020-06-06,WMS MA,0
2020-06-07,WMS MA,0
2020-06-08,WMS MA,0
2020-06-09,WMS MA,1
2020-06-10,WMS MA,0
2020-06-11,WMS MA,3
2020-06-12,WMS MA,0
2020-06-13,WMS MA,0
2020-06-14,WMS MA,0
2020-06-15,WMS MA,0
2020-06-16,WMS MA,2
2020-06-17,WMS MA,2
2020-06-18,WMS MA,0
2020-06-19,WMS MA,0
2020-06-20,WMS MA,0
2020-06-21,WMS MA,1
2020-06-22,WMS MA,1
2020-06-23,WMS MA,2
2020-06-24,WMS MA,2
2020-06-25,WMS MA,0
2020-06-26,WMS MA,0
2020-06-27,WMS MA,0
2020-06-28,WMS MA,0
2020-06-29,WMS MA,2
2020-06-30,WMS MA,0
2020-07-01,WMS MA,1
2020-07-02,WMS MA,2
2020-07-03,WMS MA,0
2020-07-04,WMS MA,1
2020-07-05,WMS MA,0
2020-07-06,WMS MA,2
2020-07-07,WMS MA,1
2020-07-08,WMS MA,0
2020-07-09,WMS MA,1
2020-07-10,WMS MA,1
2020-07-11,WMS MA,0
2020-07-12,WMS MA,0
2020-07-13,WMS MA,0
2020-07-14,WMS MA,2
2020-07-15,WMS MA,1
2020-07-16,WMS MA,1
2020-07-17,WMS MA,0
2020-07-18,WMS MA,0
2020-07-19,WMS MA,1
2020-07-20,WMS MA,0
2020-07-21,WMS MA,4
2020-07-22,WMS MA,4
2020-07-23,WMS MA,2
2020-07-24,WMS MA,1
2020-07-25,WMS MA,0
2020-07-26,WMS MA,0
2020-07-27,WMS MA,1
2020-07-28,WMS MA,0
2020-07-29,WMS MA,0
2020-07-30,WMS MA,1
2020-07-31,WMS MA,0
2020-08-01,WMS MA,1
2020-08-02,WMS MA,0
2020-08-03,WMS MA,0
2020-08-04,WMS MA,1
2020-08-05,WMS MA,1
2020-08-06,WMS MA,1
2020-08-07,WMS MA,1
2020-08-08,WMS MA,0
2020-08-09,WMS MA,0
2020-08-10,WMS MA,0
2020-08-11,WMS MA,1
2020-08-12,WMS MA,0
2020-08-13,WMS MA,0
2020-08-14,WMS MA,0
2020-08-15,WMS MA,0
2020-08-16,WMS MA,1
2020-08-17,WMS MA,1
2020-08-18,WMS MA,0
2020-08-19,WMS MA,1
2020-08-20,WMS MA,3
2020-08-21,WMS MA,0
2020-08-22,WMS MA,0
2020-08-23,WMS MA,2
2020-08-24,WMS MA,1
2020-08-25,WMS MA,0
2020-08-26,WMS MA,4
2020-08-27,WMS MA,1
2020-08-28,WMS MA,0
2020-08-29,WMS MA,0
2020-08-30,WMS MA,2
2020-08-31,WMS MA,0
2020-09-01,WMS MA,1
2020-09-02,WMS MA,2
2020-09-03,WMS MA,1
2020-09-04,WMS MA,0
2020-09-05,WMS MA,0
2020-09-06,WMS MA,1
2020-09-07,WMS MA,0
2020-09-08,WMS MA,2
2020-09-09,WMS MA,1
2020-09-10,WMS MA,1
2020-09-11,WMS MA,0
2020-09-12,WMS MA,0
2020-09-13,WMS MA,0
2020-09-14,WMS MA,1
2020-09-15,WMS MA,2
2020-09-16,WMS MA,2
2020-09-17,WMS MA,2
2020-09-18,WMS MA,0
2020-09-19,WMS MA,0
2020-09-20,WMS MA,4
2020-09-21,WMS MA,2
2020-09-22,WMS MA,1
2020-09-23,WMS MA,2
2020-09-24,WMS MA,2
2020-09-25,WMS MA,1
2020-09-26,WMS MA,0
2020-09-27,WMS MA,0
2020-09-28,WMS MA,1
2020-09-29,WMS MA,1
2020-09-30,WMS MA,1
2020-10-01,WMS MA,0
2020-10-02,WMS MA,0
2020-10-03,WMS MA,0
2020-10-04,WMS MA,0
2020-10-05,WMS MA,2
2020-10-06,WMS MA,0
2020-10-07,WMS MA,4
2020-10-08,WMS MA,0
2020-10-09,WMS MA,0
2020-10-10,WMS MA,0
2020-10-11,WMS MA,2
2020-10-12,WMS MA,2
2020-10-13,WMS MA,2
2020-10-14,WMS MA,2
2020-10-15,WMS MA,12
2020-10-16,WMS MA,4
2020-10-17,WMS MA,0
2020-10-18,WMS MA,0
2020-10-19,WMS MA,2
2020-10-20,WMS MA,4
2020-10-21,WMS MA,6
2020-10-22,WMS MA,2
2020-10-23,WMS MA,12
2020-10-24,WMS MA,2
2020-10-25,WMS MA,2
2020-10-26,WMS MA,4
2020-10-27,WMS MA,2
2020-10-28,WMS MA,4
2020-10-29,WMS MA,2
2020-10-30,WMS MA,2
2020-10-31,WMS MA,2
2020-11-01,WMS MA,1
2020-11-02,WMS MA,0
2020-11-03,WMS MA,3
2020-11-04,WMS MA,2
2020-11-05,WMS MA,5
2020-11-06,WMS MA,4
2020-11-07,WMS MA,2
2020-11-08,WMS MA,1
2020-11-09,WMS MA,2
2020-11-10,WMS MA,1
2020-11-11,WMS MA,1
2020-11-12,WMS MA,0
2020-11-13,WMS MA,3
2020-11-14,WMS MA,1
2020-11-15,WMS MA,2
2020-11-16,WMS MA,6
2020-11-17,WMS MA,3
2020-11-18,WMS MA,3
2020-11-19,WMS MA,4
2020-11-20,WMS MA,2
2020-11-21,WMS MA,0
2020-11-22,WMS MA,2
2020-11-23,WMS MA,2
2020-11-24,WMS MA,3
