,date,Weekly_Count,Site Name
113,2020-12-06,21,MLO-043 : MLO - West Virginia
114,2020-12-13,31,MLO-043 : MLO - West Virginia
115,2020-12-20,19,MLO-043 : MLO - West Virginia
116,2020-12-27,8,MLO-043 : MLO - West Virginia
117,2021-01-03,5,MLO-043 : MLO - West Virginia
118,2021-01-10,20,MLO-043 : MLO - West Virginia
119,2021-01-17,18,MLO-043 : MLO - West Virginia
120,2021-01-24,9,MLO-043 : MLO - West Virginia
121,2021-01-31,17,MLO-043 : MLO - West Virginia
122,2021-02-07,20,MLO-043 : MLO - West Virginia
123,2021-02-14,24,MLO-043 : MLO - West Virginia
124,2021-02-21,14,MLO-043 : MLO - West Virginia
125,2021-02-28,7,MLO-043 : MLO - West Virginia
126,2021-03-07,15,MLO-043 : MLO - West Virginia
127,2021-03-14,9,MLO-043 : MLO - West Virginia
128,2021-03-21,9,MLO-043 : MLO - West Virginia
129,2021-03-28,12,MLO-043 : MLO - West Virginia
130,2021-04-04,9,MLO-043 : MLO - West Virginia
131,2021-04-11,10,MLO-043 : MLO - West Virginia
132,2021-04-18,13,MLO-043 : MLO - West Virginia
133,2021-04-25,14,MLO-043 : MLO - West Virginia
134,2021-05-02,16,MLO-043 : MLO - West Virginia
135,2021-05-09,13,MLO-043 : MLO - West Virginia
136,2021-05-16,14,MLO-043 : MLO - West Virginia
137,2021-05-23,18,MLO-043 : MLO - West Virginia
138,2021-05-30,20,MLO-043 : MLO - West Virginia
139,2021-06-06,23,MLO-043 : MLO - West Virginia
140,2021-06-13,7,MLO-043 : MLO - West Virginia
141,2021-06-20,13,MLO-043 : MLO - West Virginia
142,2021-06-27,19,MLO-043 : MLO - West Virginia
143,2021-07-04,11,MLO-043 : MLO - West Virginia
144,2021-07-11,12,MLO-043 : MLO - West Virginia
145,2021-07-18,21,MLO-043 : MLO - West Virginia
146,2021-07-25,18,MLO-043 : MLO - West Virginia
147,2021-08-01,24,MLO-043 : MLO - West Virginia
148,2021-08-08,25,MLO-043 : MLO - West Virginia
149,2021-08-15,16,MLO-043 : MLO - West Virginia
