,date,Weekly_Count,Site Name
113,2020-12-06,22,MLO-506 : MLO - Goodyear
114,2020-12-13,18,MLO-506 : MLO - Goodyear
115,2020-12-20,13,MLO-506 : MLO - Goodyear
116,2020-12-27,7,MLO-506 : MLO - Goodyear
117,2021-01-03,5,MLO-506 : MLO - Goodyear
118,2021-01-10,8,MLO-506 : MLO - Goodyear
119,2021-01-17,3,MLO-506 : MLO - Goodyear
120,2021-01-24,2,MLO-506 : MLO - Goodyear
121,2021-01-31,2,MLO-506 : MLO - Goodyear
122,2021-02-07,12,MLO-506 : MLO - Goodyear
123,2021-02-14,13,MLO-506 : MLO - Goodyear
124,2021-02-21,6,MLO-506 : MLO - Goodyear
125,2021-02-28,6,MLO-506 : MLO - Goodyear
126,2021-03-07,13,MLO-506 : MLO - Goodyear
127,2021-03-14,7,MLO-506 : MLO - Goodyear
128,2021-03-21,9,MLO-506 : MLO - Goodyear
129,2021-03-28,16,MLO-506 : MLO - Goodyear
130,2021-04-04,36,MLO-506 : MLO - Goodyear
131,2021-04-11,10,MLO-506 : MLO - Goodyear
132,2021-04-18,21,MLO-506 : MLO - Goodyear
133,2021-04-25,10,MLO-506 : MLO - Goodyear
134,2021-05-02,20,MLO-506 : MLO - Goodyear
135,2021-05-09,19,MLO-506 : MLO - Goodyear
136,2021-05-16,17,MLO-506 : MLO - Goodyear
137,2021-05-23,18,MLO-506 : MLO - Goodyear
138,2021-05-30,17,MLO-506 : MLO - Goodyear
139,2021-06-06,21,MLO-506 : MLO - Goodyear
140,2021-06-13,25,MLO-506 : MLO - Goodyear
141,2021-06-20,23,MLO-506 : MLO - Goodyear
142,2021-06-27,7,MLO-506 : MLO - Goodyear
143,2021-07-04,10,MLO-506 : MLO - Goodyear
144,2021-07-11,19,MLO-506 : MLO - Goodyear
145,2021-07-18,26,MLO-506 : MLO - Goodyear
146,2021-07-25,17,MLO-506 : MLO - Goodyear
147,2021-08-01,13,MLO-506 : MLO - Goodyear
148,2021-08-08,22,MLO-506 : MLO - Goodyear
149,2021-08-15,24,MLO-506 : MLO - Goodyear
150,2021-08-22,22,MLO-506 : MLO - Goodyear
151,2021-08-29,20,MLO-506 : MLO - Goodyear
152,2021-09-05,18,MLO-506 : MLO - Goodyear
153,2021-09-12,28,MLO-506 : MLO - Goodyear
154,2021-09-19,22,MLO-506 : MLO - Goodyear
155,2021-09-26,21,MLO-506 : MLO - Goodyear
156,2021-10-03,13,MLO-506 : MLO - Goodyear
157,2021-10-10,13,MLO-506 : MLO - Goodyear
158,2021-10-17,20,MLO-506 : MLO - Goodyear
159,2021-10-24,22,MLO-506 : MLO - Goodyear
160,2021-10-31,36,MLO-506 : MLO - Goodyear
