,date,Weekly_Count,Site Name
113,2020-12-06,4,MLO-500 : MLO - Cheshire
114,2020-12-13,4,MLO-500 : MLO - Cheshire
115,2020-12-20,2,MLO-500 : MLO - Cheshire
116,2020-12-27,7,MLO-500 : MLO - Cheshire
117,2021-01-03,5,MLO-500 : MLO - Cheshire
118,2021-01-10,6,MLO-500 : MLO - Cheshire
119,2021-01-17,8,MLO-500 : MLO - Cheshire
120,2021-01-24,2,MLO-500 : MLO - Cheshire
121,2021-01-31,9,MLO-500 : MLO - Cheshire
122,2021-02-07,3,MLO-500 : MLO - Cheshire
123,2021-02-14,11,MLO-500 : MLO - Cheshire
124,2021-02-21,4,MLO-500 : MLO - Cheshire
125,2021-02-28,9,MLO-500 : MLO - Cheshire
126,2021-03-07,10,MLO-500 : MLO - Cheshire
127,2021-03-14,10,MLO-500 : MLO - Cheshire
128,2021-03-21,12,MLO-500 : MLO - Cheshire
129,2021-03-28,10,MLO-500 : MLO - Cheshire
130,2021-04-04,6,MLO-500 : MLO - Cheshire
131,2021-04-11,7,MLO-500 : MLO - Cheshire
132,2021-04-18,17,MLO-500 : MLO - Cheshire
133,2021-04-25,8,MLO-500 : MLO - Cheshire
134,2021-05-02,3,MLO-500 : MLO - Cheshire
135,2021-05-09,14,MLO-500 : MLO - Cheshire
136,2021-05-16,9,MLO-500 : MLO - Cheshire
137,2021-05-23,9,MLO-500 : MLO - Cheshire
138,2021-05-30,10,MLO-500 : MLO - Cheshire
139,2021-06-06,8,MLO-500 : MLO - Cheshire
140,2021-06-13,10,MLO-500 : MLO - Cheshire
141,2021-06-20,12,MLO-500 : MLO - Cheshire
142,2021-06-27,12,MLO-500 : MLO - Cheshire
143,2021-07-04,7,MLO-500 : MLO - Cheshire
144,2021-07-11,7,MLO-500 : MLO - Cheshire
145,2021-07-18,6,MLO-500 : MLO - Cheshire
146,2021-07-25,5,MLO-500 : MLO - Cheshire
147,2021-08-01,4,MLO-500 : MLO - Cheshire
148,2021-08-08,7,MLO-500 : MLO - Cheshire
149,2021-08-15,11,MLO-500 : MLO - Cheshire
150,2021-08-22,1,MLO-500 : MLO - Cheshire
151,2021-08-29,4,MLO-500 : MLO - Cheshire
152,2021-09-05,11,MLO-500 : MLO - Cheshire
153,2021-09-12,7,MLO-500 : MLO - Cheshire
154,2021-09-19,7,MLO-500 : MLO - Cheshire
155,2021-09-26,8,MLO-500 : MLO - Cheshire
156,2021-10-03,13,MLO-500 : MLO - Cheshire
157,2021-10-10,12,MLO-500 : MLO - Cheshire
158,2021-10-17,12,MLO-500 : MLO - Cheshire
159,2021-10-24,9,MLO-500 : MLO - Cheshire
160,2021-10-31,7,MLO-500 : MLO - Cheshire
